行政區,路名,段、號及其他註明,經度,緯度,備註
北投區,石牌路,2段322號旁(榮光新村站),121.52275,25.11979 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段單號(榮光新村站),121.52261,25.11980 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段單號(榮總急診室出入口右側),121.52085,25.11891 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段99巷口(永明派出所前三角公園),121.51677,25.11773 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,明德路,365號(振興醫院站),121.52185,25.11759 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,明德路,365號(振興醫院站),121.521724,25.11749 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,天母西路,107號對面(振興公園站),121.52335,25.11876 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,天母西路,107號對面(振興公園站),121.523561,25.11873 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,三合街,2段502號前,121.499602,25.12601 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,514號前,121.496084,25.13379 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,12號前,121.499517,25.12280 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,20號前,121.4994,25.12333 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,大興街口公車站牌(往台北方向),121.496815,25.12980 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,292號對面公車站牌,121.497725,25.127620,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,65巷口旁,121.499064,25.12328 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,368號旁公車站牌,121.497415,25.12915 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,37號旁公車站牌,121.499134,25.12288 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,1段2號前公車站牌,121.501341,25.13363 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,1段73號公車站牌前,121.500995,25.13371 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,2段70號前,121.492611,25.13810 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,1段2號前,121.501395,25.13360 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,2段27號對面公車站牌,121.495776,25.13672 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,1段73號公車站牌旁,121.50111,25.13369 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中和街,402號旁公車站牌,121.498160,25.14350 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,220號旁公車站牌,121.507589,25.12735 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,352號對面公車站牌,121.504769,25.12308 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段三合街2段口(萊爾富旁),121.500661,25.12603 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段91巷籃球場內,121.4994,25.12917 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,2段3號公園後(左側),121.497553,25.13192 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,2段3號公園前(右側),121.498,25.13194 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段59號旁公車站牌,121.500910,25.12520 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段30號前,121.501286,25.12368 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,2段3號公園前(左側),121.498030,25.13200 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,2段3號公園後(右側),121.497585,25.13186 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,幽雅路,杏林巷口,121.515662,25.13754 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,泉源路,12號旁,121.504079,25.13723 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,復興三路,522號對面,121.500861,25.15984 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,稻香路,79號對面,121.48965,25.14060 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段250號旁,121.467033,25.12346 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段250號旁,121.467431,25.12338 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段168號旁,121.468244,25.12333 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段250號對面,121.467107,25.12346 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段250號對面,121.467446,25.12343 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段250號旁,121.467931,25.12335 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段168號前,121.46849,25.12331 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段168號旁,121.468618,25.12330 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段168號旁,121.468626,25.12330 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,知行路,336號,121.467217,25.12296 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,知行路,336號,121.467281,25.12295 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,知行路,336號,121.467446,25.12294 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,知行路,336號,121.467092,25.12287 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,3段168號旁,121.468369,25.12332 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,新民路,73之6號前,121.512748,25.14104 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,新民路,22巷口旁,121.507242,25.13933 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,行義路,惇敘工商(行義)公車站牌旁,121.527283,25.14352 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,行義路,與陽投公路交口旁,121.526621,25.14388 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,幽雅路,杏林巷口旁,121.514207,25.13872 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,東昇路,12巷口旁,121.523085,25.14594 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,東昇路,108之2號前,121.530064,25.15623 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,東昇路,197號圳內公車站牌旁,121.532076,25.15997 ,嚴禁投入家用垃圾，違者重罰新台幣6000元
